64,1.87200307e-03,1.97700038e-03
128,2.12299823e-03,1.88399851e-03
200,1.77200138e-03,2.13700160e-03
256,1.78299844e-03,1.94700062e-03
512,1.85300037e-03,2.39299982e-03
600,1.71300023e-03,1.94400176e-03
800,1.74800306e-03,2.13300064e-03
1024,1.77099928e-03,1.88099965e-03
2000,1.80599838e-03,1.91999971e-03
3000,1.74700096e-03,2.02900171e-03
4096,1.80400162e-03,1.86499953e-03
6000,1.79699808e-03,1.97100266e-03
7000,1.87299773e-03,2.01999768e-03
10000,1.93500146e-03,1.95499882e-03
50000,1.90999731e-03,2.22000107e-03
100000,1.93000212e-03,2.24899873e-03
1000000,1.92800164e-03,1.88600271e-03
10000000,2.17199698e-03,2.04300135e-03
100000000,2.11200118e-03,2.06299871e-03
