64,4.33540008e-02,3.18530015e-02
128,1.25424001e-01,3.39809991e-02
200,1.07556998e-01,5.23779988e-02
256,1.31053999e-01,8.05779993e-02
512,2.46858999e-01,1.46049000e-01
600,3.10995999e-01,1.68637998e-01
800,3.99532999e-01,2.05772001e-01
1024,4.80937000e-01,3.06267000e-01
2000,9.70072001e-01,5.75954001e-01
3000,1.47622499e+00,7.66746997e-01
4096,1.91485999e+00,1.05028500e+00
6000,2.74388600e+00,1.57424499e+00
7000,3.22970400e+00,1.78674899e+00
10000,4.55330099e+00,2.53030100e+00
50000,2.25457650e+01,1.27455960e+01
100000,4.49946320e+01,2.55600569e+01
1000000,4.46821499e+02,2.51027952e+02
10000000,4.46476566e+03,2.50718499e+03
100000000,4.46748249e+04,2.50428894e+04
