64,1488.5514,500.9027
128,1834.6102,532.8416
200,2021.8793,555.0414
256,2087.5684,557.8485
512,2146.5189,574.1189
600,2241.6136,576.0933
800,2260.7306,578.2273
1024,2300.8818,580.3123
2000,2334.1300,584.2465
3000,2281.5946,585.6430
4096,2305.5873,586.1247
6000,2365.9663,568.6251
7000,2368.2051,565.6206
10000,2324.0693,575.9958
50000,2349.6924,580.0404
100000,2345.8363,578.2391
1000000,2364.2257,584.2339
10000000,2365.5661,582.5841
100000000,2365.5990,582.6224
